[   62251ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3001/api/v1/orderbook/PEPPER%2FUSD?depth=50:0
[   62251ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3001/api/v1/markets/PEPPER%2FUSD/trades?limit=80:0
[   62251ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/trades?limit=100&market=PEPPER%2FUSD:0
[   62251ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/orders?limit=100&market=PEPPER%2FUSD:0
[   62254ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/balances:0
[   70271ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3001/api/v1/orderbook/PEPPER%2FUSD?depth=50:0
[   70273ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3001/api/v1/markets/PEPPER%2FUSD/candles?interval=15m&limit=120:0
[   70273ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:3001/api/v1/markets/PEPPER%2FUSD/trades?limit=80:0
[   70273ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/trades?limit=100&market=PEPPER%2FUSD:0
[   70273ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/orders?limit=100&market=PEPPER%2FUSD:0
[   70276ms] [ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://localhost:3001/api/v1/users/demo-user/balances:0
[   77526ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:3001/@vite/client:963
[   77527ms] [ERROR] WebSocket connection to 'ws://localhost:3001/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/@vite/client:1034
[   78224ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3001/api/health:0
[   78226ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3001/api/v1/markets:0
[   78805ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3001/node_modules/.vite/deps/react-dom_client.js?v=803a25cc:20100
[   78838ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3001/api/auth/oidc/status:0
[   78838ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3001/api/health:0
